TABLE_NAME                                         COLUMN_NAME
-------------------------------------------------- --------------------------------------------------
ABN_CROSS_REFERENCE                                ABN_CROSS_REFERENCE_ID
ABN_CROSS_REFERENCE                                CATALOG_CD
ABN_CROSS_REFERENCE                                CPT_NOMEN_ID
ABN_CROSS_REFERENCE                                BEG_EFFECTIVE_DT_TM
ABN_CROSS_REFERENCE                                END_EFFECTIVE_DT_TM
ABN_CROSS_REFERENCE                                ACTIVE_IND
ABN_CROSS_REFERENCE                                ACTIVE_STATUS_CD
ABN_CROSS_REFERENCE                                ACTIVE_STATUS_DT_TM
ABN_CROSS_REFERENCE                                ACTIVE_STATUS_PRSNL_ID
ABN_CROSS_REFERENCE                                UPDT_CNT
ABN_CROSS_REFERENCE                                UPDT_DT_TM
ABN_CROSS_REFERENCE                                UPDT_ID
ABN_CROSS_REFERENCE                                UPDT_APPLCTX
ABN_CROSS_REFERENCE                                UPDT_TASK
ABN_CROSS_REFERENCE                                LAST_UTC_TS
ABN_CROSS_REFERENCE                                INST_ID
ABN_CROSS_REFERENCE                                TXN_ID_TEXT
ABN_RULE                                           ABN_RULE_ID
ABN_RULE                                           FIN_CLASS_CD
ABN_RULE                                           CARRIER_ID
ABN_RULE                                           ENCNTR_TYPE_CD
ABN_RULE                                           CPT_NOMEN_ID
ABN_RULE                                           ICD9_NOMEN_ID
ABN_RULE                                           VALID_DIAG_FLG
ABN_RULE                                           BEG_EFFECTIVE_DT_TM
ABN_RULE                                           END_EFFECTIVE_DT_TM
ABN_RULE                                           ACTIVE_IND
ABN_RULE                                           ACTIVE_STATUS_CD
ABN_RULE                                           ACTIVE_STATUS_DT_TM
ABN_RULE                                           ACTIVE_STATUS_PRSNL_ID
ABN_RULE                                           UPDT_CNT
ABN_RULE                                           UPDT_DT_TM
ABN_RULE                                           UPDT_ID
ABN_RULE                                           UPDT_APPLCTX
ABN_RULE                                           UPDT_TASK
ABN_RULE                                           CONTRIBUTOR_SYSTEM_CD
ABN_RULE                                           URL
ABN_RULE                                           AGE_RESTRICTION_CODE
ABN_RULE                                           SEX_RESTRICTION_CODE
ABN_RULE                                           ACTION_CD
ABN_RULE                                           ACTION_CD_DT_TM
ABN_RULE                                           HEALTH_PLAN_ID
ABN_RULE                                           POLICY_NUMBER
ABN_RULE                                           POLICY_NAME
ABN_RULE                                           POLICY_DISCRIPTION
ABN_RULE                                           TYPE_CD
ABN_RULE                                           PARAMETER_CD
ABN_RULE                                           FREQUENCY_REST_CODE
ABN_RULE                                           LONG_TEXT_ID
